trial,framework,model,phase,build_pass,capped,outcome,acceptance,input,output,cache_write,cache_read,total_cost_usd,turns,wall_s,reads,edits,bash,mcp_docs,web,tasks,other_tools,files_changed,loc_js_added,loc_native_added,study,set,spec_version,loc_native_code_added,loc_native_config_added,loc_generated_added,first_turn_context,summary_usage_mismatch
main-expo-1,expo,claude-sonnet-5,1,true,false,phases-complete,pending,34,8285,34005,751003,0.5545249,17,148,1,5,10,0,0,0,0,7,243,0,ns-vs-expo-buildonly,main,v1.1.0,0,0,275,34795,false
main-expo-1,expo,claude-sonnet-5,2,true,false,phases-complete,pending,74,26905,55180,2004616,1.3371068000000002,37,382,13,7,16,0,0,0,0,8,171,137,ns-vs-expo-buildonly,main,v1.1.0,106,31,0,34814,false
main-expo-1,expo,claude-sonnet-5,3,true,false,phases-complete,pending,158,43591,86400,5963441,2.962624299999999,79,642,17,14,47,0,0,0,0,12,140,149,ns-vs-expo-buildonly,main,v1.1.0,83,66,2,34820,false
main-expo-2,expo,claude-sonnet-5,1,true,false,phases-complete,pending,38,7273,32786,837223,0.5579088999999999,19,143,2,7,9,0,0,0,0,8,223,0,ns-vs-expo-buildonly,main,v1.1.0,0,0,275,34796,false
main-expo-2,expo,claude-sonnet-5,2,true,false,phases-complete,pending,137,24254,65285,2878201,1.6202313000000002,57,362,12,7,19,1,0,0,17,8,175,133,ns-vs-expo-buildonly,main,v1.1.0,100,33,0,34814,false
main-expo-2,expo,claude-sonnet-5,3,true,false,phases-complete,pending,82,26404,70163,2768547,1.6486911000000006,54,363,19,8,26,0,0,0,0,8,126,159,ns-vs-expo-buildonly,main,v1.1.0,94,65,0,34820,false
main-expo-3,expo,claude-sonnet-5,1,true,false,phases-complete,pending,34,6008,29487,768482,0.49850560000000005,17,132,3,6,7,0,0,0,0,8,216,0,ns-vs-expo-buildonly,main,v1.1.0,0,0,275,34795,false
main-expo-3,expo,claude-sonnet-5,2,true,false,phases-complete,pending,62,22558,51875,1881744,1.2151692000000003,53,316,14,9,14,0,0,0,15,8,192,138,ns-vs-expo-buildonly,main,v1.1.0,106,32,0,34814,false
main-expo-3,expo,claude-sonnet-5,3,true,false,phases-complete,pending,88,22253,81554,3147446,1.7684648000000003,44,351,11,12,16,3,0,0,1,8,126,123,ns-vs-expo-buildonly,main,v1.1.0,97,26,0,34819,false
main-expo-4,expo,claude-sonnet-5,1,true,false,phases-complete,pending,24,6391,32434,540842,0.4536256,21,130,7,5,8,0,0,0,0,7,236,0,ns-vs-expo-buildonly,main,v1.1.0,0,0,275,34797,false
