trial,framework,model,phase,build_pass,capped,outcome,acceptance,input,output,cache_write,cache_read,total_cost_usd,turns,wall_s,reads,edits,bash,mcp_docs,web,tasks,other_tools,files_changed,loc_js_added,loc_native_added,study,set,spec_version,loc_native_code_added,loc_native_config_added,loc_generated_added,first_turn_context,summary_usage_mismatch
main-expo-1,expo,claude-sonnet-5,1,true,false,phases-complete,pending,98,12225,57386,2917288,1.4039344000000002,56,604,10,5,30,0,0,0,3,6,216,0,ns-vs-expo,main,v1.1.0,0,0,275,34712,false
main-expo-1,expo,claude-sonnet-5,2,true,false,phases-complete,pending,50,24442,53814,1434866,1.1208998,33,329,10,7,15,0,0,0,0,9,182,122,ns-vs-expo,main,v1.1.0,91,31,0,34731,false
main-expo-1,expo,claude-sonnet-5,3,true,false,phases-complete,pending,62,22641,59654,1921167,1.2748590999999994,43,307,13,9,20,0,0,0,0,10,158,117,ns-vs-expo,main,v1.1.0,90,27,0,34735,false
main-expo-2,expo,claude-sonnet-5,1,true,false,phases-complete,pending,30,5917,31508,644323,0.47195789999999993,17,142,3,5,7,0,0,0,1,7,157,0,ns-vs-expo,main,v1.1.0,0,0,275,34712,false
main-expo-2,expo,claude-sonnet-5,2,true,false,phases-complete,pending,86,26538,63473,2505763,1.5316808999999996,56,377,13,6,18,1,0,0,17,8,180,154,ns-vs-expo,main,v1.1.0,122,32,0,34924,false
main-expo-2,expo,claude-sonnet-5,3,true,false,phases-complete,pending,76,26052,85116,3141047,1.8447921000000003,52,429,13,8,27,2,0,0,1,8,123,122,ns-vs-expo,main,v1.1.0,94,28,0,34736,false
main-expo-3,expo,claude-sonnet-5,1,true,false,phases-complete,pending,42,14937,40500,1139074,,1,626,6,4,11,0,0,0,4,4,246,0,ns-vs-expo,main,v1.1.0,0,0,0,34711,true
main-expo-3,expo,claude-sonnet-5,2,true,false,phases-complete,pending,77,29729,64807,2820744,1.6820071999999997,51,376,16,7,19,2,0,0,5,9,184,167,ns-vs-expo,main,v1.1.0,134,33,0,34728,false
main-expo-3,expo,claude-sonnet-5,3,true,false,phases-complete,pending,42,19172,63983,1253248,1.0483673999999998,35,230,13,8,11,1,0,0,1,9,152,125,ns-vs-expo,main,v1.1.0,96,29,0,34733,false
main-expo-4,expo,claude-sonnet-5,1,true,false,phases-complete,pending,44,9948,36977,1092826,,3,364,7,5,10,0,0,0,2,7,249,0,ns-vs-expo,main,v1.1.0,0,0,275,34712,true
main-expo-4,expo,claude-sonnet-5,2,true,false,phases-complete,pending,165,39872,129356,8565713,3.9452009000000006,114,728,32,6,52,1,0,0,2,9,181,138,ns-vs-expo,main,v1.1.0,106,32,0,34729,false
main-expo-4,expo,claude-sonnet-5,3,true,false,phases-complete,pending,138,44368,130970,6741172,3.4748946,100,743,28,13,45,0,0,0,1,9,140,158,ns-vs-expo,main,v1.1.0,98,60,0,34735,false
main-ns-1,ns,claude-sonnet-5,1,true,false,phases-complete,pending,69,10674,45186,1850283,0.9872489,47,187,14,5,18,0,0,0,1,3,57,0,ns-vs-expo,main,v1.1.0,0,0,0,34517,false
main-ns-1,ns,claude-sonnet-5,2,true,false,phases-complete,pending,174,42884,138507,9328654,4.274174199999999,114,802,24,6,59,8,0,0,1,4,157,14,ns-vs-expo,main,v1.1.0,0,14,0,34545,false
main-ns-1,ns,claude-sonnet-5,3,true,false,phases-complete,pending,40,12523,41856,1130228,0.7789164000000001,30,218,7,2,15,4,0,0,1,3,100,2,ns-vs-expo,main,v1.1.0,0,2,0,34611,false
main-ns-2,ns,claude-sonnet-5,1,true,false,phases-complete,pending,596,16377,81766,3774484,1.8711151999999995,63,272,12,10,22,8,0,0,3,4,65,0,ns-vs-expo,main,v1.1.0,0,0,0,34573,false
main-ns-2,ns,claude-sonnet-5,2,true,false,phases-complete,pending,102,28063,81977,3990432,2.1110166,64,375,12,4,32,9,0,0,5,4,160,14,ns-vs-expo,main,v1.1.0,0,14,0,34543,false
main-ns-2,ns,claude-sonnet-5,3,true,false,phases-complete,pending,2685,50321,220408,26671245,10.256277500000001,199,2225,42,11,100,4,9,0,2,3,103,2,ns-vs-expo,main,v1.1.0,0,2,0,34609,false
main-ns-3,ns,claude-sonnet-5,1,true,false,phases-complete,pending,596,17157,60063,2494782,1.3686916,53,391,12,3,22,7,0,0,1,3,34,0,ns-vs-expo,main,v1.1.0,0,0,0,34573,false
main-ns-3,ns,claude-sonnet-5,2,true,false,phases-complete,pending,679,52071,174407,13556072,5.897129599999998,156,1072,25,6,77,12,0,0,18,5,161,13,ns-vs-expo,main,v1.1.0,0,13,0,34601,false
main-ns-3,ns,claude-sonnet-5,3,true,false,phases-complete,pending,250,42447,153206,13304061,5.5486663,149,868,32,3,84,2,0,0,4,3,112,2,ns-vs-expo,main,v1.1.0,0,2,0,34611,false
main-ns-4,ns,claude-sonnet-5,1,true,false,phases-complete,pending,82,16531,63597,2672068,1.4321444,56,273,14,3,23,8,0,0,0,3,39,0,ns-vs-expo,main,v1.1.0,0,0,0,34517,false
main-ns-4,ns,claude-sonnet-5,2,true,false,phases-complete,pending,216,47201,164541,13398185,6.317482550000002,137,1002,30,6,71,3,0,0,4,5,232,12,ns-vs-expo,main,v1.1.0,0,12,0,34599,false
main-ns-4,ns,claude-sonnet-5,3,true,false,phases-complete,pending,395,46658,173711,13070022,5.7112316000000005,139,1012,33,8,67,6,2,0,3,5,171,2,ns-vs-expo,main,v1.1.0,0,2,0,34610,false
main-ns-5,ns,claude-sonnet-5,1,true,false,phases-complete,pending,539,12531,65787,2727935,1.4034155,56,234,13,3,20,7,0,0,2,3,57,0,ns-vs-expo,main,v1.1.0,0,0,0,34573,false
main-ns-5,ns,claude-sonnet-5,2,true,false,phases-complete,pending,250,57208,176247,16777268,6.950291399999999,167,1097,36,11,67,6,0,0,27,5,204,12,ns-vs-expo,main,v1.1.0,0,12,0,34545,false
main-ns-5,ns,claude-sonnet-5,3,true,false,phases-complete,pending,46,14627,49279,1394368,0.9342694,33,168,10,4,15,2,0,0,1,5,146,2,ns-vs-expo,main,v1.1.0,0,2,0,34609,false
pilot-expo-1,expo,claude-sonnet-5,1,true,false,phases-complete,pending,89,23113,74470,3320017,1.7905401000000003,62,478,16,6,32,0,0,0,1,14,118,0,ns-vs-expo,pilot,v1.1.0,0,0,0,34740,false
pilot-expo-1,expo,claude-sonnet-5,2,true,false,phases-complete,pending,98,26692,87952,3697905,2.0385435000000007,63,442,18,10,31,2,0,0,1,9,174,137,ns-vs-expo,pilot,v1.1.0,104,33,0,34766,false
pilot-expo-1,expo,claude-sonnet-5,3,true,false,phases-complete,pending,304,51969,298206,19357657,8.377759099999999,169,1893,22,11,118,0,0,0,0,10,148,118,ns-vs-expo,pilot,v1.1.0,91,27,0,34973,false
pilot-expo-3,expo,claude-sonnet-5,1,true,false,phases-complete,pending,38,7178,30495,828324,0.5400341999999999,19,163,3,9,6,0,0,0,0,9,206,0,ns-vs-expo,pilot,v1.1.0,0,0,275,34712,false
pilot-expo-3,expo,claude-sonnet-5,2,true,false,phases-complete,pending,38,22790,67895,1116331,1.0850093,37,304,15,7,11,2,0,0,1,9,161,158,ns-vs-expo,pilot,v1.1.0,126,32,0,34730,false
pilot-expo-3,expo,claude-sonnet-5,3,true,false,phases-complete,pending,73,19433,79613,2960314,1.6582702,53,297,16,8,18,3,0,0,6,9,116,131,ns-vs-expo,pilot,v1.1.0,103,28,0,34736,false
pilot-ns-1,ns,claude-sonnet-5,1,true,false,phases-complete,pending,80,10831,53741,2433008,1.2157844000000004,53,189,13,8,20,4,0,0,1,4,57,0,ns-vs-expo,pilot,v1.1.0,0,0,0,34574,false
pilot-ns-1,ns,claude-sonnet-5,2,true,false,phases-complete,pending,126,42963,102429,5111678,3.21164595,82,506,12,4,52,0,0,0,13,4,156,12,ns-vs-expo,pilot,v1.1.0,0,12,0,34601,false
pilot-ns-1,ns,claude-sonnet-5,3,true,false,phases-complete,pending,182,37727,176052,10403051,4.767854299999999,137,790,35,4,57,9,1,0,3,3,102,2,ns-vs-expo,pilot,v1.1.0,0,2,0,34556,false
