trial,framework,model,phase,build_pass,capped,outcome,acceptance,input,output,cache_write,cache_read,total_cost_usd,turns,wall_s,reads,edits,bash,mcp_docs,web,tasks,other_tools,files_changed,loc_js_added,loc_native_added,study,set,spec_version,loc_native_code_added,loc_native_config_added,loc_generated_added,first_turn_context,summary_usage_mismatch
main-lynx-1,lynx,claude-sonnet-5,1,true,false,phases-complete,pending,72,19850,85348,2676731,1.6138443,48,240,11,10,24,1,0,0,1,11,137,0,ns-vs-lynx,main,v1.0.0,0,0,0,34804,false
main-lynx-1,lynx,claude-sonnet-5,2,true,false,phases-complete,pending,182,67499,210797,14519313,6.634390900000001,133,863,29,7,63,3,0,0,20,7,124,127,ns-vs-lynx,main,v1.0.0,111,16,0,34833,false
main-lynx-1,lynx,claude-sonnet-5,3,true,false,phases-complete,pending,278,65761,257993,23564195,9.6052675,169,1172,38,11,95,7,0,0,2,7,84,108,ns-vs-lynx,main,v1.0.0,106,2,0,35036,false
main-lynx-2,lynx,claude-sonnet-5,1,true,false,phases-complete,pending,104,22525,113958,5114056,2.5569427999999994,78,334,21,11,34,2,0,0,2,11,231,0,ns-vs-lynx,main,v1.0.0,0,0,0,34805,false
main-lynx-2,lynx,claude-sonnet-5,2,true,false,phases-complete,pending,116,55474,213425,9182624,4.8685942,88,849,23,7,46,3,0,0,2,6,85,148,ns-vs-lynx,main,v1.0.0,134,14,0,34832,false
main-lynx-2,lynx,claude-sonnet-5,3,true,false,phases-complete,pending,282,61660,301447,27087892,10.8615876,184,1163,36,11,105,6,0,0,2,6,77,94,ns-vs-lynx,main,v1.0.0,92,2,0,34847,false
main-lynx-3,lynx,claude-sonnet-5,1,true,false,phases-complete,pending,168,26324,116694,7649060,3.391017,90,456,23,12,44,3,0,0,1,11,155,0,ns-vs-lynx,main,v1.0.0,0,0,0,34804,false
main-lynx-3,lynx,claude-sonnet-5,2,true,true,phases-complete,pending,320,113124,343670,37775367,15.608516349999995,161,4134,40,20,113,5,2,0,4,6,101,136,ns-vs-lynx,main,v1.0.0,115,21,0,34830,false
main-lynx-3,lynx,claude-sonnet-5,3,true,false,phases-complete,pending,220,54119,207299,16255245,6.933609499999998,154,1029,27,11,77,2,0,0,24,7,79,100,ns-vs-lynx,main,v1.0.0,98,2,0,34845,false
main-lynx-4,lynx,claude-sonnet-5,1,true,false,phases-complete,pending,70,18372,84504,2707811,1.5959383,51,252,13,9,25,1,0,0,1,8,182,0,ns-vs-lynx,main,v1.0.0,0,0,0,34804,false
